# Constructed from biom file
#OTU ID	ITS.Mia.2	ITS.Mia.12	ITS.Mia.9	ITS.Mia.17	ITS.Mia.10	ITS.Mia.11	ITS.Mia.15	ITS.Mia.16	ITS.Mia.1	ITS.Mia.13	ITS.Mia.14	ITS.Mia.3	ITS.Mia.7	ITS.Mia.8	ITS.Mia.5	ITS.Mia.4	ITS.Mia.6
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetidae_ord_Incertae_sedis;f__Eremomycetaceae	0.00015343759221	0.00616114354949	0.0142800972262	9.08925649882e-05	0.00424639512316	0.00389014902076	0.000296421283048	0.000149583467575	0.00429606150703	0.000196966712626	0.000291464463195	0.000407767418281	0.00207674476721	0.00220498878713	0.00125256477549	0.00565952045462	0.00107186695019
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae	5.90144585423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000131159008438	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__unidentified	0.0	0.0	0.0	0.0	2.60515038231e-05	1.21948245165e-05	2.28016371575e-05	0.0	0.0	0.0	0.0	1.10207410346e-05	1.72343964084e-05	1.25283453814e-05	1.1929188338e-05	0.0	1.7288176616e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Microthyriales;f__Microthyriaceae	0.0	0.0	8.93623105519e-05	0.000161586782201	0.0	0.0	0.0	0.0	1.3097748497e-05	0.0	0.0	0.0	8.61719820418e-06	0.0	0.000131221071718	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Patellariales;f__Patellariaceae	0.0	0.0	0.000268086931656	0.0	6.51287595576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000137811799196	0.000262442143437	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae	0.0	0.0	0.0	2.01983477752e-05	0.0	1.21948245165e-05	0.0	0.0	0.0	0.0	0.0	6.61244462078e-05	0.0	1.25283453814e-05	0.0	0.0	1.7288176616e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Diademaceae	1.18028917085e-05	1.28894216517e-05	3.57449242208e-05	1.00991738876e-05	0.0	0.0	0.0	0.0	1.3097748497e-05	0.0	0.0	1.10207410346e-05	8.61719820418e-06	0.0	0.0	1.16451038161e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae	1.18028917085e-05	0.0	1.78724621104e-05	2.01983477752e-05	0.00887053705175	0.0	0.000102607367209	6.90385234961e-05	6.54887424852e-05	2.31725544265e-05	1.45732231598e-05	3.30622231039e-05	0.0	0.000162868489959	0.0	0.000104805934345	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae	5.90144585423e-05	0.000373793227898	0.0144409493852	0.00099981821487	0.000104206015292	0.000329260261945	0.00153911050813	0.00255442536936	2.61954969941e-05	0.000289656930332	0.000189451901077	0.0341642972073	0.00336070729963	0.00117766446585	0.000739609676958	5.82255190805e-05	0.000328475355704
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae	0.011212747123	5.15576866066e-05	0.00741707177581	0.0131390252277	0.00333459248935	0.000292675788395	0.000125409004367	0.00723753854651	0.00565822735072	0.000104276494919	7.28661157988e-05	0.000154290374485	0.000318836333555	0.00766734737343	0.000775397241972	0.00159537922281	0.00184983489791
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.00763647093538	0.00141783638168	0.000196597083214	0.0114726615363	0.000586158836019	0.000170727543231	0.0340998483691	0.000253141252819	0.00119189511323	0.00857384513782	0.00227342281292	0.000573078533801	1.72343964084e-05	0.0	0.000405592403493	9.31608305288e-05	8.64408830801e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae	0.0137621717321	0.0371086449351	7.14898484415e-05	8.07933911006e-05	0.00354300451994	0.0112680178532	0.000296421283048	0.00012657062641	0.000772767161325	0.000741521741649	0.00836503009371	6.61244462078e-05	0.159995519057	0.0615893458951	0.00502218829031	0.000500739464092	0.016838684024
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	0.000436706993213	0.0	0.0	0.0	1.30257519115e-05	0.0	0.0	0.0	0.0	0.0	0.000131159008438	0.0	0.0	0.0	0.000155079448394	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.000212452050752	0.000180451903123	0.000285959393766	0.000302975216627	0.000221437782496	6.09741225824e-05	0.000592842566096	0.000115064205827	0.000144075233467	0.000347588316398	0.000233171570556	0.000782472613459	0.000146492369471	0.000212981871484	0.000167008636732	0.00133918693885	0.000121017236312
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.0097491885512	0.00101826431048	0.0192843866171	0.0164818517845	0.0300894869156	0.000817053242604	0.00688609442158	0.0131058130437	0.0107925447616	0.0061986583091	0.00533379967647	0.0101501024929	0.00994424672762	0.002430499004	0.00503411747865	0.0152434408953	0.00387255156199
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis	0.0491472410741	0.00167562481471	0.000393194166428	0.00120180169262	0.00134165244689	0.00248774420136	0.0321617092107	0.00727205780826	0.00106091762826	0.0141120856458	0.00868564100322	0.00751614538562	0.00125811093781	0.00335759656222	0.0303239967553	0.00698706228966	0.0478018083433
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.00488639716731	0.00126316332186	0.00046468401487	0.00838231432669	0.000221437782496	0.00045120850711	0.00506196344898	0.00810052009021	0.00239688797496	0.00368443615382	0.00456141884901	0.0110097202936	0.000284367540738	7.51700722886e-05	0.000202796201746	0.000163031453425	0.00025932264924
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified	0.0981882561228	0.00931905185414	0.0552616528453	0.0576965804197	0.0347787576038	0.0240725835955	0.00548379373639	0.0437359046348	0.0287102647055	0.0169738961174	0.0111485157172	0.0214794242765	0.00285229260558	0.0606747766822	0.123753399819	0.0554539843723	0.0465397714503
