# Constructed from biom file
#OTU ID	ITS.Mia.2	ITS.Mia.12	ITS.Mia.9	ITS.Mia.17	ITS.Mia.10	ITS.Mia.11	ITS.Mia.15	ITS.Mia.16	ITS.Mia.1	ITS.Mia.13	ITS.Mia.14	ITS.Mia.3	ITS.Mia.7	ITS.Mia.8	ITS.Mia.5	ITS.Mia.4	ITS.Mia.6
No blast hit;Other;Other;Other;Other;Other	0.0297668928888	0.102329118492	0.0730983700315	0.039528166596	0.0453556681559	0.0576449354894	0.0447710145588	0.0342085883923	0.0350102817326	0.0281198947966	0.0436176569172	0.0403579536688	0.0945737502908	0.11889399767	0.0621391420528	0.0367519476436	0.0390885673288
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces	0.000165240483919	0.000141783638168	1.78724621104e-05	2.01983477752e-05	2.60515038231e-05	0.0	0.0	0.0	0.0	5.79313860663e-05	1.45732231598e-05	2.20414820693e-05	2.58515946125e-05	1.25283453814e-05	2.38583766761e-05	1.16451038161e-05	6.9152706464e-05
k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Austroafricana	0.0	0.0	0.0	1.00991738876e-05	0.0	0.0	2.28016371575e-05	0.0	0.0	0.0	0.000189451901077	0.0	0.0	1.25283453814e-05	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Guignardia	0.0	0.0	0.0	1.00991738876e-05	0.0	0.0	0.0	2.30128411654e-05	0.0	0.0	0.0	1.10207410346e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia	0.000236057834169	0.000489798022763	0.000285959393766	0.000171685956089	0.000156309022938	0.000158532718714	0.000193813915839	0.00017259630874	0.000327443712426	0.000220139267052	0.000233171570556	0.000231435561727	0.000465328703025	0.000200453526103	0.000310158896789	0.000163031453425	0.000224746296008
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	0.0	0.0	0.0	1.00991738876e-05	0.0	0.0	4.56032743151e-05	0.0	0.0	0.000301243207545	0.0	0.0	0.0	0.0	3.57875650141e-05	0.0	0.000812544300953
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Microdiplodia	0.0	0.0	0.0	5.04958694379e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neofusicoccum	0.00015343759221	0.000322235541291	0.000357449242208	0.000212082651639	0.000312618045877	0.000170727543231	0.000171012278682	0.000149583467575	0.000196466227456	0.000115862772133	0.000145732231598	0.000198373338623	0.00031021913535	0.000150340144577	0.000238583766761	0.00020961186869	0.000190169942776
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Phyllosticta	0.000212452050752	0.0	0.0	4.03966955503e-05	0.0	0.0	1.14008185788e-05	0.0	0.0	4.63451088531e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_fam_Incertae_sedis;g__Camarosporium	4.72115668339e-05	0.0	0.0	0.0	0.0	1.21948245165e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16451038161e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__unidentified;g__unidentified	0.000129831808793	0.0	5.36173863311e-05	1.00991738876e-05	0.0	0.000365844735494	0.0034886504851	1.15064205827e-05	0.00013097748497	8.11039404929e-05	4.37196694793e-05	0.0	9.47891802459e-05	0.0	9.54335067042e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Capnobotryella	0.0	3.8668264955e-05	0.0	2.01983477752e-05	1.30257519115e-05	0.0	4.56032743151e-05	0.0	1.3097748497e-05	0.0	1.45732231598e-05	1.10207410346e-05	8.61719820418e-06	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Cystocoleus	0.0	1.28894216517e-05	0.0	0.0	0.0	0.0	2.28016371575e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16451038161e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Elasticomyces	0.000236057834169	0.000322235541291	0.000268086931656	0.000252479347189	0.000260515038231	0.00165849613424	0.000319222920206	0.000690385234961	0.000288150466935	0.000220139267052	0.000466343141113	0.000363684454143	0.000646289865313	0.00126536288352	0.000715751300282	0.000186321661058	0.000622374358176
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Hispidoconidioma	0.000318678076129	0.0	0.0	0.000222181825527	1.30257519115e-05	0.0	0.00336324148074	0.0	5.23909939881e-05	0.000753108018862	0.00247744793716	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Meristemomyces	0.000118028917085	0.000244899011381	0.000107234772662	7.0694217213e-05	0.00016933477485	0.000268286139362	0.000171012278682	0.000356699038063	3.92932454911e-05	9.26902177061e-05	0.000116585785278	0.000198373338623	0.000387773919188	0.00182913842569	0.00011929188338	6.98706228966e-05	0.00025932264924
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Phaeotheca	5.90144585423e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23909939881e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Toxicocladosporium	9.44231336677e-05	0.0	0.0	0.0	2.60515038231e-05	0.0	1.14008185788e-05	0.0	1.3097748497e-05	1.15862772133e-05	0.0	0.0	0.0	0.0	0.0	1.16451038161e-05	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Verrucocladosporium	0.0	0.0	0.0	0.0	0.0	1.21948245165e-05	0.0	0.0	2.61954969941e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.16451038161e-05	8.64408830801e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	0.000472115668339	0.00015467305982	0.00225193022591	0.000727140519905	0.000560107332196	0.000536572278725	0.00291860955617	0.00171445666682	0.000419127951905	0.000753108018862	0.000218598347396	0.0019727126452	0.00146492369471	0.000187925180721	0.000536813475211	0.000454159048828	0.00060508618156
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella	0.000354086751254	2.57788433033e-05	8.93623105519e-05	6.05950433255e-05	0.0	1.21948245165e-05	2.28016371575e-05	6.90385234961e-05	0.000406030203408	2.31725544265e-05	7.28661157988e-05	0.000187352597589	3.44687928167e-05	0.000112755108433	9.54335067042e-05	1.16451038161e-05	3.4576353232e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramichloridium	0.0	5.15576866066e-05	3.57449242208e-05	0.0	0.0	2.4389649033e-05	0.0	0.0	0.0	0.0	1.45732231598e-05	0.0	8.61719820418e-06	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zasmidium	0.0	0.0	0.0	0.0	1.30257519115e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25283453814e-05	0.0	0.0	1.7288176616e-05
